id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	44	22	22	44	22	22
4	0	82	83	86	3	0	4	1	1
3	0	69	69	182	33	45	113	80	45
2	0	46	46	190	55	75	144	89	75
5	0	526	526	589	63	0	63	0	0
6	0	780	780	796	7	9	16	9	9
7	0	800	800	808	8	0	8	0	0
8	0	901	901	908	7	0	7	0	0
9	0	1090	1090	1196	70	36	106	36	36
11	0	1229	1229	1289	33	27	60	27	27
14	0	1303	1328	1375	47	0	72	25	25
10	0	1215	1215	1417	76	42	202	126	42
13	0	1294	1320	1442	21	65	148	127	91
12	0	1271	1289	1550	29	84	279	250	102
15	0	1335	1417	1553	70	66	218	148	148
16	0	1627	1627	1645	12	6	18	6	6
17	0	1753	1753	1806	20	33	53	33	33
19	0	1936	1936	1978	37	5	42	5	5
18	0	1921	1921	2047	38	79	126	88	79
20	0	1954	1978	2050	20	33	96	76	57
21	0	2386	2386	2399	13	0	13	0	0
22	0	2392	2399	2401	2	0	9	7	7
23	0	2541	2541	2652	90	21	111	21	21
24	0	2728	2728	2803	57	18	75	18	18
25	0	2744	2744	2832	32	55	88	56	55
0	0	0	0	2832	1967	0	2832	865	0
