id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	2	2	0	2	0	0
2	0	44	44	107	17	46	63	46	46
3	0	229	229	236	7	0	7	0	0
4	0	263	263	294	11	20	31	20	20
5	0	439	439	446	7	0	7	0	0
6	0	509	509	521	12	0	12	0	0
8	0	924	924	933	9	0	9	0	0
7	0	884	884	937	26	23	53	27	23
9	0	1220	1220	1281	51	5	61	10	5
10	0	1262	1265	1296	14	17	34	20	20
12	0	1352	1352	1414	28	24	62	34	24
11	0	1325	1325	1427	57	34	102	45	34
13	0	1909	1909	1917	8	0	8	0	0
14	0	1963	1963	1993	9	21	30	21	21
15	0	2257	2257	2322	47	8	65	18	8
16	0	2297	2303	2415	49	54	118	69	60
17	0	2452	2452	2462	10	0	10	0	0
18	0	2471	2471	2560	59	13	89	30	13
19	0	2507	2516	2606	28	52	99	71	61
21	0	2693	2693	2697	4	0	4	0	0
20	0	2633	2633	2706	10	63	73	63	63
22	0	2783	2783	2797	14	0	14	0	0
23	0	2827	2827	2861	34	0	34	0	0
24	0	2937	2937	3006	4	59	69	65	59
25	0	2966	2966	3007	26	12	41	15	12
0	0	0	0	3007	2464	0	3007	543	0
